code,date,boards,turn,mom5,mom20,lim10,lim20,vol_ratio,log_amt,prev_pct,prev_limit,total_lim,y
002662,2026-01-21,1,9.7076,13.53383458646617,13.53383458646617,0.0,0.0,3.7603538181013016,8.812538784265849,0.7335,False,75,0
002663,2025-10-21,1,7.6059,12.980769230769226,6.334841628959282,0.0,0.0,2.8526326803185738,8.348700484688015,0.9434,False,68,0
002663,2026-03-24,1,4.5887,-3.004291845493583,5.116279069767444,0.0,0.0,1.1391559676024106,8.108714615594998,-6.8182,False,80,0
002663,2026-04-07,1,6.3735,-5.555555555555543,-3.0701754385964932,1.0,1.0,1.6239623502273257,8.249047301658083,-8.2192,False,86,1
002663,2026-04-08,2,8.2933,7.048458149779748,3.4042553191489446,2.0,2.0,2.068311855939646,8.401339338120867,9.9502,True,113,0
002664,2025-10-15,1,4.2911,3.9831606217616553,13.182939725061686,0.0,0.0,1.4117579381757854,8.726647906800956,-6.2319,False,60,0
002664,2026-01-16,1,7.7026,9.770354906054294,21.769337656322364,0.0,0.0,1.8216319945985484,8.892843047131592,-1.5651,False,48,0
002664,2026-05-07,1,5.4425,10.841584158415856,14.820512820512818,0.0,0.0,3.7075451585404475,8.68082380948051,1.1431,False,92,0
002664,2026-06-15,1,2.5137,3.1151003167898494,-14.75338280226974,0.0,0.0,1.4625850885051046,8.284159059213406,2.0115,False,129,0
002664,2026-07-03,1,3.0532,16.66666666666667,9.35093509350935,0.0,1.0,1.8905561330716945,8.37279969990157,0.7808,False,93,0
002666,2025-12-19,1,2.6048,11.382113821138233,9.381237524950109,0.0,0.0,1.514761993053989,7.85116314215712,1.6327,False,69,1
002666,2025-12-22,2,2.272,21.084337349397586,19.64285714285714,1.0,1.0,1.3736042432878475,7.836269105598106,10.0402,True,76,0
002667,2025-11-10,1,7.0116,11.075441412520064,18.900343642611688,0.0,0.0,1.680155863270582,8.352169881425047,1.5335,False,63,0
002667,2025-11-24,1,15.1095,9.597924773022044,43.34181509754029,1.0,1.0,0.8700360200286557,8.770756476886152,-6.8526,False,59,0
002667,2026-01-23,1,11.4926,24.911284599006393,28.937728937728934,0.0,0.0,1.5325224600389815,8.661320815838364,1.6518,False,84,1
002667,2026-01-26,2,5.3775,29.411764705882348,42.45768947755701,1.0,1.0,0.689006489029464,8.38495030382994,10.0,True,64,0
002667,2026-01-28,1,18.3383,37.1664548919949,60.52044609665427,2.0,2.0,1.7238217025824922,8.950193007164545,1.3946,False,77,0
002667,2026-03-02,1,7.6464,17.101303911735215,32.67045454545453,0.0,3.0,1.1930475838545893,8.61140434831644,5.1511,False,82,0
002667,2026-03-06,1,15.1022,25.71832312764954,17.52531924262439,1.0,1.0,1.4188123218537143,8.962499179552777,-1.5822,False,68,0
002667,2026-03-11,1,9.7599,33.91480730223125,71.03626943005179,2.0,2.0,0.8604764201743282,8.874930132530622,7.1786,False,50,0
002667,2026-03-18,1,9.0738,-4.332020599818236,59.898734177215175,2.0,3.0,0.5702787594483649,8.815598467488513,-1.0341,False,49,0
002668,2026-08-17,1,5.3346,4.339440694310511,6.6009852216748754,0.0,0.0,3.2712428983972934,8.785894943117386,-3.0542,False,92,0
002669,2026-03-13,1,10.8576,9.642857142857125,8.557284299858566,0.0,0.0,4.600857004739289,8.68331505604609,-0.2146,False,57,0
002669,2026-05-28,1,16.6151,25.500000000000014,22.4390243902439,0.0,0.0,1.4887700121935346,8.937703264248563,6.3957,False,93,0
002669,2026-06-09,1,6.4162,6.687116564417181,22.551092318534188,1.0,1.0,0.4250352127212347,8.52861589345479,-4.8736,False,110,1
002669,2026-06-10,2,25.6189,19.26433915211969,33.031988873435296,2.0,2.0,2.057402453407047,9.153205582274008,9.9937,True,64,0
002669,2026-07-21,1,7.6092,-9.921259842519675,-35.910364145658264,0.0,0.0,1.4434873501500614,8.392704089450598,-3.9705,False,83,0
002669,2026-09-14,1,9.4535,11.697806661251022,5.2027543993879135,0.0,0.0,2.591471492642536,8.585075896763474,1.3788,False,48,0
002670,2025-09-29,1,8.9093,10.982948846539614,13.95468589083417,0.0,0.0,1.6953461342641583,9.491068989970069,-0.1984,False,47,1
002670,2025-09-30,2,13.6692,23.867684478371515,21.639180409795088,1.0,1.0,2.6274777746047104,9.730231731267299,9.9901,True,45,0
002670,2026-07-01,1,2.7502,2.455546147332768,6.326889279437609,0.0,0.0,1.5040931395667063,8.718959145503892,-1.8733,False,133,0
002671,2025-12-03,1,8.5978,12.331406551059729,7.564575645756449,0.0,0.0,4.152134220777706,8.420993878850506,1.7274,False,49,0
002672,2025-10-23,1,4.3427,11.36842105263159,10.438413361169111,0.0,0.0,7.006761931628492,8.309224850402464,-0.6198,False,50,0
002672,2026-06-16,1,2.8049,10.198300283286116,-4.187192118226591,0.0,0.0,1.8905252579521452,7.968209914361061,-0.5618,False,109,0
002672,2026-06-22,1,2.0498,5.3370786516854025,-2.84974093264249,1.0,1.0,0.729538914350389,7.833501475000058,-6.5753,False,123,1
002672,2026-06-23,2,5.2987,16.666666666666657,6.9948186528497445,2.0,2.0,1.979979566555036,8.283298658961925,9.9707,True,88,0
002674,2025-09-23,1,8.0528,20.83333333333333,23.0935251798561,2.0,3.0,1.993927962612658,8.580688257796126,-9.4351,False,46,0
002674,2025-12-15,1,3.946,-1.408450704225345,-7.5747046560111215,0.0,0.0,1.120530240735106,8.173739399562042,-1.6273,False,55,0
002674,2026-05-25,1,2.9751,17.082111436950157,13.5846372688478,0.0,0.0,1.1990307226538934,8.136105649719646,-1.0225,False,91,0
002674,2026-06-18,1,7.9671,13.219481340923451,22.01772324471709,0.0,1.0,1.7872006503076168,8.608722260287594,1.624,False,78,1
002674,2026-06-22,2,0.4514,23.062500000000014,35.60606060606062,1.0,2.0,0.09510092302418778,7.415018012360371,10.0184,True,123,1
